Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
11;19/05/2023;19:00;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Rosario Central;Defensa y Justicia;32;43;1,1395;27;43;1,1163;0,7442;0,6279;1,3721;0,4673
12;19/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Argentinos Jrs;Boca Juniors;28;43;0,9535;25;43;0,9302;0,6512;0,5814;1,2326;0,3786
13;19/05/2023;21:30;ARGENTINA;LIGA PROFESIONAL - ROUND 17;Racing Club;Velez Sarsfield;28;43;1,2326;25;42;0,8571;0,6512;0,5952;1,2464;0,3876
14;19/05/2023;21:00;ARUBA;DIVISION DI HONOR - WINNERS STAGE - ROUND 10;Deportivo Nacional;Dakota;32;38;2,2105;36;41;1,9756;0,8421;0,878;1,7201;0,7394
15;19/05/2023;06:45;AUSTRALIA;A-LEAGUE - PLAY OFFS - SEMI-FINALS;Melbourne City;Sydney FC;36;43;1,4884;38;43;1,6512;0,8372;0,8837;1,7209;0,7398
16;19/05/2023;07:30;AUSTRALIA;NPL QUEENSLAND - ROUND 11;Eastern Suburbs;Olympic FC;34;43;1,6977;36;43;1,7209;0,7907;0,8372;1,6279;0,662
17;19/05/2023;07:00;AUSTRALIA;NPL SOUTH AUSTRALIAN - ROUND 13;White City;NE Metrostars;26;38;1,3158;33;43;1,4419;0,6842;0,7674;1,4516;0,5251
18;19/05/2023;06:30;AUSTRALIA;NPL VICTORIA - ROUND 14;Melbourne Knights;St Albans;31;43;1,1628;30;43;1,0465;0,7209;0,6977;1,4186;0,503
19;19/05/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 14;Green Gully;Oakleigh Cannons;33;43;1,3721;32;43;1,4419;0,7674;0,7442;1,5116;0,5711
20;19/05/2023;22:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 3;Soaga (Sam);Auckland City (Nzl);24;28;2,5714;33;42;1,3095;0,8571;0,7857;1,6428;0,6734
