Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum
642;04/06/2023;13:30;CAPE VERDE;CAMPEONATO NACIONAL - ROUND 5;Juventude;Santo Crucifixo;2;4;0,75;2;5;0,4;0,5;0,4;0,9
643;04/06/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;East End Tigers;Bo Rangers;4;11;0,7273;8;15;0,9333;0,3636;0,5333;0,8969
644;04/06/2023;14:00;JORDAN;SHIELD CUP - ROUND 4;Sahab;Al Ahli;7;15;0,8;6;15;0,6;0,4667;0,4;0,8667
645;04/06/2023;09:30;NETHERLANDS;DERDE DIVISIE - RELEGATION - SEMI-FINALS;Kampong;Be Quick 1887;0;1;0,0;13;15;1,7333;0,0;0,8667;0,8667
646;04/06/2023;17:00;VENEZUELA;LIGA FUTVE 2 - PLAY OFFS - QUARTER-FINALS;Trujillanos;Bolivar;7;15;0,6667;6;15;0,5333;0,4667;0,4;0,8667
647;04/06/2023;12:00;BENIN;LIGUE 1 - CHAMPIONSHIP GROUP - ROUND 21;Ayema;AS Cotonou;6;13;0,6154;4;10;0,5;0,4615;0,4;0,8615
648;04/06/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;Mighty Blackpool;Kallon;2;9;0,6667;9;15;1,0;0,2222;0,6;0,8222
649;04/06/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 11;Sainte-Suzanne;Capricorne;1;3;0,3333;4;9;0,7778;0,3333;0,4444;0,7777
650;04/06/2023;12:00;BENIN;LIGUE 1 - CHAMPIONSHIP GROUP - ROUND 21;Requins;ASVO;6;13;0,7692;3;10;0,6;0,4615;0,3;0,7615
651;04/06/2023;13:30;CAPE VERDE;CAMPEONATO NACIONAL - ROUND 5;Palmeira;Champions Fogo;2;5;0,6;1;3;0,6667;0,4;0,3333;0,7333
652;04/06/2023;14:00;SENEGAL;LIGUE 1 - ROUND 22;Pikine;Jaraaf;6;15;0,5333;5;15;0,4;0,4;0,3333;0,7333
653;04/06/2023;07:00;SPAIN;SEGUNDA RFEF - PROMOTION PLAY OFFS - FINAL;Cacereno;Recreativo Huelva;3;15;0,3333;8;15;0,6667;0,2;0,5333;0,7333
654;04/06/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 11;St. Louis;Sainte-Marienne;2;8;0,625;3;7;0,5714;0,25;0,4286;0,6786
655;04/06/2023;13:30;CAPE VERDE;CAMPEONATO NACIONAL - ROUND 5;Morabeza;Varandinha;0;4;0,0;4;6;1,0;0,0;0,6667;0,6667
656;04/06/2023;09:30;MOZAMBIQUE;MOCAMBOLA - ROUND 8;Ferroviario Quelimane;ENH Vilankulo;3;15;0,2667;7;15;0,9333;0,2;0,4667;0,6667
657;04/06/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 29;Kamboi Eagles;Lamboi;5;15;0,8;3;9;0,6667;0,3333;0,3333;0,6666
658;04/06/2023;16:00;BOLIVIA;NACIONAL B - FIRST STAGE;River 66;24 de Septiembre;0;1;0,0;3;5;1,0;0,0;0,6;0,6
659;04/06/2023;13:15;MALI;PREMIERE DIVISION - ROUND 22;Stade Malien;Binga;3;15;0,2667;6;15;0,4667;0,2;0,4;0,6
660;04/06/2023;13:30;CAPE VERDE;CAMPEONATO NACIONAL - ROUND 5;Mindelense;Travadores;3;11;0,3636;1;4;0,25;0,2727;0,25;0,5227
661;04/06/2023;13:30;CAPE VERDE;CAMPEONATO NACIONAL - ROUND 5;Sanjoanenses;Belo Horizonte;0;1;0,0;1;3;0,3333;0,0;0,3333;0,3333
662;04/06/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 11;Saint-Pierroise;Trois Bassins;2;7;0,2857;0;5;0,0;0,2857;0,0;0,2857
663;04/06/2023;08:30;RÉUNION;REGIONALE 1 - ROUND 11;Tamponnaise;OCSA Leopards;1;5;0,2;0;6;0,0;0,2;0,0;0,2
