Nº;ID;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
91;QXbrqFTl;12/09/2023;10:00;EUROPE;EURO U21 - QUALIFICATION;Belarus U21;Portugal U21;35;20;52;19;1,1645;2,4184;3,5829;2,78;3,24;1,88;7,83;6,72;8,13;30,58;68,17
92;CEtt4uPc;12/09/2023;12:30;CZECH REPUBLIC;STREDOCESKY KP - ROUND 1;Mnichovohradistsky SK;SK Doksy;35;18;16;17;2,2663;1,3317;3,598;2,74;6,2;7,03;8,26;3,65;2,43;30,31;68,79
93;lQbvqGPO;12/09/2023;08:00;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;South Korea U23;Myanmar U23;61;26;42;25;2,2331;1,3785;3,6115;2,7;6,03;6,73;8,31;3,72;2,57;30,06;69,07
94;2X4syYC0;12/09/2023;15:45;ENGLAND;SOUTHERN LEAGUE SOUTH DIVISION - ROUND 8;Walton & Hersham;Hayes & Yeading;59;25;30;20;1,955;1,67;3,625;2,66;5,21;5,09;8,7;4,45;3,72;29,83;69,6
95;Iwrhdagc;12/09/2023;20:06;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Puerto Rico;Antigua and Barbuda;34;19;26;19;2,1053;1,5263;3,6316;2,65;5,57;5,87;8,51;4,04;3,08;29,72;69,56
96;GUVdaQkn;12/09/2023;11:00;ROMANIA;LIGA 3 - SERIA 3 - ROUND 1;Calarasi;LPS HD Clinceni;40;22;16;22;2,25;1,4091;3,6591;2,58;5,8;6,52;8,17;3,63;2,56;29,26;69,84
97;653SVfPT;12/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Coventry U21;Swansea U21;30;16;45;22;2,0284;1,6477;3,6761;2,53;5,14;5,21;8,46;4,17;3,44;28,95;70,37
98;Qk2wClbF;12/09/2023;09:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Barnsley U21;Ipswich U21;30;16;32;16;2,2188;1,5625;3,7812;2,28;5,06;5,61;7,9;3,56;2,78;27,19;71,93
99;4AEDz5RO;12/09/2023;12:30;GERMANY;OBERLIGA BAYERN NORD - ROUND 6;Neumarkt;Feucht;34;20;34;22;1,9636;1,8227;3,7864;2,27;4,45;4,37;8,12;4,13;3,77;27,11;72,21
100;6Lo8kqDq;12/09/2023;14:00;SWEDEN;SVENSKA CUPEN WOMEN - QUALIFICATION - FINAL;Gamla Upsala W;Uppsala W;42;20;37;22;2,0045;1,8409;3,8455;2,14;4,29;4,29;7,89;3,94;3,62;26,17;73,11
101;tf8JmvBg;12/09/2023;11:30;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;Oman U23;Brunei U23;31;16;7;19;3,1003;0,7467;3,847;2,13;6,62;10,26;4,94;1,59;0,6;26,14;69,98
102;KdqITfkT;12/09/2023;13:00;GERMANY;OBERLIGA HAMBURG - ROUND 8;Wandsbeker Concordia;Suderelbe;41;20;48;21;2,0726;1,7929;3,8655;2,1;4,34;4,5;7,79;3,76;3,37;25,86;73,34
103;6evJhzCt;12/09/2023;13:45;AUSTRIA;TIROL - ROUND 9;SC Kundl;Innsbrucker AC;18;20;34;21;2,331;1,6095;3,9405;1,94;4,53;5,28;7,29;3,13;2,52;24,69;74,16
104;vmqlcuvi;12/09/2023;19:00;NORTH & CENTRAL AMERICA;CONCACAF NATIONS LEAGUE - LEAGUE B - ROUND 2;Guyana;Bahamas;35;16;17;19;2,6464;1,4161;4,0625;1,72;4,55;6,02;6,45;2,44;1,73;22,91;75,18
105;0jRpPEcp;12/09/2023;14:30;GERMANY;OBERLIGA HAMBURG - ROUND 8;Paloma;Rugenbergen;62;21;24;21;2,5952;1,5;4,0952;1,67;4,32;5,61;6,48;2,5;1,87;22,45;75,75
106;0IwNifRn;12/09/2023;13:45;AUSTRIA;TIROL - ROUND 9;SV Worgl;Fugen;27;22;47;22;1,7727;2,3409;4,1136;1,63;2,9;2,57;6,78;3,83;4,48;22,19;76,54
107;2ZmiNKY2;12/09/2023;13:00;NORWAY;DIVISION 3 - GROUP 2 - ROUND 19;Sogndal 2;Raufoss 2;39;21;23;22;2,2922;1,9513;4,2435;1,44;3,29;3,77;6,42;2,8;2,73;20,45;78,25
108;MHenASSR;12/09/2023;10:00;ENGLAND;PROFESSIONAL DEVELOPMENT LEAGUE;Wigan U21;Colchester U21;30;15;31;19;2,6053;1,6491;4,2544;1,42;3,7;4,82;6,1;2,34;1,93;20,31;77,82
109;4WyJPXNA;12/09/2023;12:00;ASIA;AFC ASIAN CUP U23 - QUALIFICATION - ROUND 3;East Timor U23;Macau U23;31;22;18;23;3,2263;1,8231;5,0494;0,64;2,07;3,34;3,77;1,17;1,07;12,06;83,08
