Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;avgAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25;O25
250;10/09/2023;15:00;CANADA;U SPORTS;Calgary;MacEwan;30;21;23;22;2,1234;1,1418;3,2652;3,82;8,11;8,61;9,26;4,36;2,49;36,65;62,7
251;10/09/2023;10:30;SLOVAKIA;4. LIGA - EAST - ROUND 8;Medzev;Sabinov;52;23;28;21;2,0352;1,2319;3,2671;3,81;7,76;7,89;9,56;4,7;2,89;36,61;62,91
252;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV B - ROUND 3;Hasselt;Overijse;33;22;35;22;1,6818;1,5909;3,2727;3,79;6,37;5,36;10,14;6,03;4,8;36,49;63,22
253;10/09/2023;11:00;SLOVAKIA;3. LIGA - WEST - ROUND 6;Sered;Belusa;41;21;53;24;1,622;1,6518;3,2738;3,79;6,14;4,98;10,14;6,25;5,17;36,47;63,21
254;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV A - ROUND 3;Olsa Brakel;Zelzate;36;20;32;19;1,7421;1,5421;3,2842;3,75;6,53;5,69;10,07;5,78;4,46;36,28;63,42
255;10/09/2023;10:00;SWITZERLAND;1.LIGA CLASSIC GROUP 1;Sion II;Echallens;30;21;37;21;1,6429;1,6667;3,3095;3,65;6,0;4,93;10,0;6,09;5,07;35,74;63,95
256;10/09/2023;11:00;BELGIUM;BELGIAN CUP - QUALIFICATION - FINAL;Knokke;Seraing;48;22;22;23;2,1561;1,1601;3,3162;3,63;7,82;8,44;9,08;4,21;2,44;35,62;63,71
257;10/09/2023;11:00;BELGIUM;BELGIAN CUP - QUALIFICATION - FINAL;Onhaye;KRC Harelbeke;52;22;30;22;2,0227;1,2955;3,3182;3,62;7,33;7,41;9,49;4,69;3,04;35,58;63,91
258;10/09/2023;11:00;SLOVAKIA;3. LIGA - WEST - ROUND 6;Malacky;Jednota Banova;49;21;33;22;2,053;1,2738;3,3268;3,59;7,37;7,57;9,39;4,57;2,91;35,4;64,05
259;10/09/2023;12:00;CZECH REPUBLIC;DIVISION B - ROUND 6;Louny;SK Kladno;31;22;35;18;1,5934;1,7449;3,3384;3,55;5,66;4,51;9,87;6,19;5,4;35,18;64,43
260;10/09/2023;11:30;SLOVAKIA;4. LIGA - BRATISLAVA - ROUND 6;Rohoznik;Rovinka;25;22;67;22;1,0682;2,2727;3,3409;3,54;3,78;2,02;8,6;8,05;9,14;35,13;64,01
261;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;Horni Redice;Prelouc;67;22;14;17;2,758;0,5936;3,3516;3,5;9,66;13,32;5,73;2,08;0,62;34,91;62,8
262;10/09/2023;12:10;SCOTLAND;SWPL 1 WOMEN - ROUND 6;Hearts W;Hibernian W;33;21;48;22;1,5357;1,8528;3,3885;3,38;5,18;3,98;9,61;6,25;5,79;34,19;65,37
263;10/09/2023;11:00;SLOVAKIA;4. LIGA - WEST - ROUND 6;Pata;Blava Jaslovske Bohunice;49;20;33;22;2,0659;1,325;3,3909;3,37;6,96;7,19;9,22;4,46;2,96;34,16;65,29
264;10/09/2023;11:30;HUNGARY;NB I WOMEN - ROUND 4;Szent Mihaly W;Haladas W;35;21;24;21;1,7381;1,6905;3,4286;3,24;5,64;4,9;9,53;5,48;4,63;33,42;66,16
265;10/09/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 6;Trebes;Dvur Kralove;45;21;16;23;2,1801;1,2526;3,4327;3,23;7,04;7,68;8,82;4,05;2,53;33,35;65,92
266;10/09/2023;16:15;CANADA;U SPORTS;McMaster;Brock;62;23;30;21;2,0859;1,3882;3,4741;3,1;6,46;6,74;8,97;4,3;2,99;32,56;66,81
267;10/09/2023;11:00;SLOVAKIA;4. LIGA - WEST - ROUND 6;FK TJ Lokomotiva Kozarovce;Imel;29;20;24;20;1,7;1,775;3,475;3,1;5,26;4,47;9,34;5,5;4,88;32,55;67,02
268;10/09/2023;10:30;SLOVAKIA;4. LIGA - EAST - ROUND 8;Raslavice;Rudnany;41;23;22;22;2,2549;1,2391;3,4941;3,04;6,85;7,72;8,49;3,76;2,33;32,19;66,92
269;10/09/2023;10:00;SWITZERLAND;1.LIGA CLASSIC GROUP 1;Portalban;Terre Sainte;34;24;27;21;1,756;1,747;3,503;3,01;5,29;4,64;9,24;5,26;4,59;32,03;67,53
270;10/09/2023;11:00;SLOVAKIA;3. LIGA - WEST - ROUND 6;Sala;MSK Martin;49;21;37;24;2,0208;1,4851;3,506;3,0;6,07;6,13;9,01;4,46;3,31;31,98;67,45
271;10/09/2023;12:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 6;Jankov;Rudolfov;26;21;24;22;1,8236;1,6883;3,5119;2,98;5,44;4,96;9,19;5,04;4,25;31,86;67,68
272;10/09/2023;16:00;BRAZIL;BRASILEIRO WOMEN - PLAY OFFS - FINAL;Corinthians W;Ferroviaria W;69;22;44;20;2,1182;1,3955;3,5136;2,98;6,31;6,68;8,8;4,16;2,9;31,83;67,51
273;10/09/2023;10:00;BELGIUM;SECOND AMATEUR DIVISION GROUP VFV A - ROUND 3;Gullegem;Wetteren;36;22;33;22;2,0227;1,5;3,5227;2,95;5,97;6,04;8,96;4,43;3,32;31,67;67,77
274;10/09/2023;12:00;CZECH REPUBLIC;JIHOCESKY KP - ROUND 6;Junior Strakonice;Hluboka nad Vltavou;39;23;37;21;1,7288;1,8157;3,5445;2,89;4,99;4,32;9,07;5,24;4,76;31,27;68,25
275;10/09/2023;23:00;USA;MLS NEXT PRO;Tacoma Defiance;San Jose Earthquakes II;55;20;40;21;2,0417;1,5024;3,544;2,89;5,9;6,02;8,86;4,34;3,26;31,27;68,08
276;10/09/2023;16:00;SPAIN;LIGA F WOMEN - ROUND 1;Barcelona W;Valencia W;83;21;21;22;2,8853;0,6677;3,553;2,86;8,26;11,92;5,52;1,91;0,64;31,11;66,05
277;10/09/2023;17:00;COSTA RICA;LIGA DE ASCENSO - APERTURA - ROUND 10;Jaco;Puerto Golfito FC;21;20;17;25;2,045;1,515;3,56;2,84;5,82;5,95;8,81;4,31;3,26;30,99;68,4
278;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;SK Pardubicky;Moravany;34;22;28;22;2,25;1,3182;3,5682;2,82;6,35;7,14;8,37;3,72;2,45;30,85;68,26
279;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;Lazne Bohdanec;Hermanuv Mestec;41;22;32;22;2,1818;1,3864;3,5682;2,82;6,15;6,71;8,53;3,91;2,71;30,83;68,38
280;10/09/2023;16:15;CANADA;U SPORTS;Trent;Laurentian;13;20;22;21;1,8964;1,6738;3,5702;2,81;5,34;5,06;8,94;4,71;3,94;30,8;68,71
281;10/09/2023;12:00;SWEDEN;DIVISION 1 - NORRA - ROUND 21;Sandviken;Karlstad;51;20;33;20;1,85;1,725;3,575;2,8;5,18;4,79;8,94;4,83;4,17;30,71;68,78
282;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;Lanskroun;Chocen;42;21;43;21;2,0476;1,5476;3,5952;2,75;5,62;5,76;8,7;4,25;3,29;30,37;69,03
283;10/09/2023;15:15;CANADA;U SPORTS;Toronto;Nipissing;47;21;35;22;2,3236;1,2716;3,5952;2,75;6,38;7,41;8,11;3,49;2,22;30,36;68,64
284;10/09/2023;09:30;SWITZERLAND;1.LIGA CLASSIC GROUP 2;Munsingen;Emmenbrucke;47;22;31;20;2,0432;1,5705;3,6136;2,7;5,51;5,63;8,65;4,23;3,32;30,04;69,38
285;10/09/2023;10:30;SLOVAKIA;4. LIGA - EAST - ROUND 8;Velky Saris;Medzilaborce;20;22;28;20;1,4295;2,2;3,6295;2,65;3,79;2,71;8,34;5,84;6,42;29,75;69,43
286;10/09/2023;15:15;CANADA;U SPORTS;Dalhousie;Mount Allison;31;20;7;23;2,9272;0,7272;3,6543;2,59;7,58;11,09;5,51;1,88;0,68;29,33;67,67
287;10/09/2023;12:00;POLAND;EKSTRALIGA WOMEN - ROUND 4;Medyk Konin W;Slask Wroclaw W;35;20;43;23;1,7228;1,9348;3,6576;2,58;4,44;3,83;8,6;4,99;4,83;29,27;70,1
288;10/09/2023;14:00;CANADA;U SPORTS;Sherbrooke;Montreal;23;20;48;20;0,975;2,7;3,675;2,53;2,47;1,2;6,67;6,84;9,24;28,95;68,96
289;10/09/2023;11:00;SLOVAKIA;3. LIGA - EAST - ROUND 6;Kalinovo;1.FK Svidnik;26;18;38;25;1,9222;1,76;3,6822;2,52;4,84;4,65;8,51;4,43;3,9;28,85;70,53
290;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;Svitavy;Holice;55;21;35;21;2,4524;1,2619;3,7143;2,44;5,98;7,33;7,54;3,08;1,94;28,31;70,36
291;10/09/2023;11:00;PORTUGAL;TAÇA DE PORTUGAL - 1/128-FINALS;Valadares Gaia;Torre De Moncorvo;38;23;12;22;2,9625;0,7727;3,7352;2,39;7,07;10,47;5,46;1,84;0,71;27,94;68,88
292;10/09/2023;11:00;SLOVAKIA;4. LIGA - WEST - ROUND 6;Crystal;FKM Nove Zamky;62;22;25;24;2,6174;1,1572;3,7746;2,29;6,01;7,86;6,95;2,66;1,54;27,31;70,92
293;10/09/2023;12:00;AUSTRIA;REGIONALLIGA WEST - ROUND 7;RW Rankweil;Hohenems;39;20;37;20;1,95;1,85;3,8;2,24;4,36;4,25;8,07;4,14;3,83;26,89;72,4
294;10/09/2023;10:30;SLOVAKIA;4. LIGA - EAST - ROUND 8;Lok. Kosice;Pavlovce n. Uhom;49;25;44;26;2,3454;1,4862;3,8315;2,17;5,08;5,96;7,56;3,22;2,39;26,38;72,5
295;10/09/2023;23:00;USA;MLS NEXT PRO;Portland Timbers 2;Houston Dynamo 2;45;22;43;22;1,8864;2,0;3,8864;2,05;3,87;3,65;7,74;4,1;4,1;25,51;73,69
296;10/09/2023;11:00;AUSTRIA;VORARLBERG - ROUND 5;Brauerei Egg;FC Hochst;51;21;20;20;2,2143;1,6905;3,9048;2,01;4,46;4,94;7,54;3,41;2,88;25,24;73,82
297;10/09/2023;19:00;MEXICO;LIGA MX WOMEN - APERTURA - ROUND 10;Pachuca W;U.N.A.M.- Pumas W;69;21;31;21;2,619;1,3095;3,9286;1,97;5,15;6,75;6,75;2,58;1,69;24,89;73,32
298;10/09/2023;12:30;QATAR;QSL CUP - ROUND 1;Al-Duhail;Shamal;58;23;48;26;2,2993;1,6622;3,9615;1,9;4,38;5,03;7,27;3,16;2,63;24,37;74,52
299;10/09/2023;10:00;GERMANY;OBERLIGA NIEDERSACHSEN - ROUND 6;Vorsfelde;Bornreihe;26;19;28;19;2,2895;1,6842;3,9737;1,88;4,31;4,93;7,25;3,17;2,67;24,21;74,69
300;10/09/2023;12:00;SCOTLAND;SWPL 1 WOMEN - ROUND 6;Dundee Utd W;Rangers W;26;18;71;21;0,9841;2,996;3,9802;1,87;1,84;0,9;5,51;5,6;8,38;24,1;72,56
301;10/09/2023;11:00;HUNGARY;NB I WOMEN - ROUND 4;MOL Fehervar W;Puskas Academy W;16;18;50;22;1,3763;2,6086;3,9848;1,86;2,56;1,76;6,68;4,85;6,33;24,04;74,19
302;10/09/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 6;Lazne Belohrad;Cerveny Kostelec;36;21;37;21;2,0952;1,9048;4,0;1,83;3,84;4,02;7,31;3,49;3,32;23,81;75,26
303;10/09/2023;19:00;USA;MLS NEXT PRO;Inter Miami II;Cincinnati 2;36;21;27;21;2,4048;1,6429;4,0476;1,75;4,2;5,05;6,9;2,87;2,36;23,13;75,53
304;10/09/2023;12:00;CZECH REPUBLIC;STREDOCESKY KP - ROUND 6;Poricany;Kutna Hora;49;21;33;23;2,8406;1,2174;4,058;1,73;4,91;6,97;5,98;2,1;1,28;22,97;74,4
305;10/09/2023;12:00;CZECH REPUBLIC;STREDOCESKY KP - ROUND 6;Mnichovohradistsky SK;Povltavska FA B;33;17;45;21;2,2087;1,9538;4,1625;1,56;3,44;3,8;6,72;3,04;2,97;21,53;77,34
306;10/09/2023;12:00;CZECH REPUBLIC;STREDOCESKY KP - ROUND 6;Sokolec;Sedlcany;51;17;33;22;2,7273;1,4559;4,1832;1,53;4,16;5,67;6,06;2,22;1,62;21,26;76,56
307;10/09/2023;18:00;USA;MLS NEXT PRO;Sporting Kansas City II;Chicago Fire II;47;20;52;22;2,2886;1,9068;4,1955;1,51;3,45;3,95;6,57;2,87;2,74;21,09;77,63
308;10/09/2023;12:00;CZECH REPUBLIC;KRALOVEHRADECKY KP - ROUND 6;Horice;Police nad Metuji;47;21;40;21;2,3095;1,9524;4,2619;1,41;3,26;3,76;6,36;2,75;2,69;20,23;78,42
309;10/09/2023;12:00;CZECH REPUBLIC;STREDOCESKY KP - ROUND 6;Pruhonice;Libis;39;19;25;20;2,6013;1,7566;4,3579;1,28;3,33;4,33;5,85;2,25;1,98;19,02;79,03
310;10/09/2023;16:15;CANADA;U SPORTS;UOIT;RMC;63;21;7;22;3,8182;0,6353;4,4535;1,16;4,44;8,48;2,82;0,74;0,23;17,87;72,85
311;10/09/2023;10:30;SLOVAKIA;4. LIGA - EAST - ROUND 8;Mladost Kalsa;FK Cana;68;21;44;23;2,5756;1,9565;4,5321;1,08;2,77;3,57;5,42;2,1;2,06;17,0;80,92
312;10/09/2023;16:15;CANADA;U SPORTS;Laurier;Algoma;28;24;10;21;3,4643;1,2798;4,744;0,87;3,02;5,22;3,86;1,11;0,71;14,79;78,87
313;10/09/2023;12:00;CZECH REPUBLIC;PARDUBICKY KP - ROUND 6;Vysoke Myto B;Libisany;42;17;49;17;2,6176;2,2353;4,8529;0,78;2,04;2,67;4,57;1,74;1,95;13,75;83,65
