Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;AvgHome;golshtAway;totalAway;AvgAway;pHome;pAway;Sum;Times
19;19/05/2023;07:00;AUSTRALIA;NPL VICTORIA - ROUND 14;Green Gully;Oakleigh Cannons;0;0;0;32;43;0.0;0;0,7442;0,7442;0,0
20;19/05/2023;22:00;AUSTRALIA & OCEANIA;OFC CHAMPIONS LEAGUE - ROUND 3;Soaga (Sam);Auckland City (Nzl);0;0;0;0;0;0.0;0;0;0;0
21;19/05/2023;14:30;AUSTRIA;BUNDESLIGA - RELEGATION GROUP - ROUND 30;Ried;Altach;0;0;0;31;43;0.0;0;0,7209;0,7209;0,0
22;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Admira;First Vienna;0;0;0;30;43;0.023255813953488372;0;0,6977;0,6977;0,0
23;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Amstetten;Austria Vienna (Am);0;0;0;0;0;0.0;0;0;0;0
24;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;BW Linz;Horn;0;0;0;0;0;0.0;0;0;0;0
25;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Dornbirn;Floridsdorfer AC;0;0;0;0;0;0.0;0;0;0;0
26;19/05/2023;13:10;AUSTRIA;2. LIGA - ROUND 28;Liefering;Lafnitz;0;0;0;0;0;0.0;0;0;0;0
27;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Abahani Limited;Sheikh Russel;0;0;0;0;0;0.0;0;0;0;0
28;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Bashundara Kings;Chittagong Abahani;0;0;0;32;43;0.023255813953488372;0;0,7442;0,7442;0,0
29;19/05/2023;07:00;BANGLADESH;PREMIER LEAGUE - ROUND 17;Sheikh Jamal;Mohammedan;0;0;0;33;43;0.0;0;0,7674;0,7674;0,0
30;19/05/2023;13:10;BELARUS;VYSSHAYA LIGA - ROUND 9;Slavia Mozyr;Slutsk;0;0;0;0;0;0.0;0;0;0;0
31;19/05/2023;16:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 14;Santa Cruz;Nacional Potosi;0;0;0;34;43;0.0;0;0,7907;0,7907;0,0
32;19/05/2023;21:00;BOLIVIA;DIVISION PROFESIONAL - ROUND 14;Tomayapo;Universitario de Vinto;0;0;0;24;43;0.0;0;0,5581;0,5581;0,0
33;19/05/2023;14:00;BOTSWANA;PREMIER LEAGUE - ROUND 28;Security Systems;Sua Flamingoes;0;0;0;0;0;0.0;0;0;0;0
