Nº;Date;Time;Country;League;Home;Away;golsHome;jogosHome;golsAway;jogosAway;avgHome;sdHome;avgAway;sdAway;avgSum;0x0;1x0;2x0;1x1;0x1;0x2;U25
100;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Sepsi Sf. Gheorghe;Bodo/Glimt;43;23;56;24;1,8696;1,1153;2,3333;1,2802;4,2029;1,5;3,49;4,07;6,52;2,8;2,61;20,99
101;24/08/2023;14:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Hacken;Aberdeen;78;26;31;25;3,0;1,3301;1,24;1,8173;4,24;1,44;1,79;1,11;5,36;4,32;6,48;20,5
102;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Rapid Vienna;Fiorentina;51;23;43;21;2,2174;1,614;2,0476;1,4953;4,265;1,4;2,88;2,95;6,38;3,12;3,45;20,18
103;24/08/2023;13:00;WORLD;CLUB FRIENDLY WOMEN;Real Sociedad W;Sporting W;45;26;51;20;1,7308;1,5332;2,55;2,0851;4,2808;1,38;3,53;4,5;6,1;2,39;2,07;19,97
104;24/08/2023;14:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Slavia Prague;FK Zorya Luhansk;63;24;38;22;2,625;1,317;1,7273;1,3877;4,3523;1,29;2,22;1,92;5,84;3,38;4,44;19,09
105;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Dyn. Kyiv;Besiktas;47;20;37;18;2,35;2,0561;2,0556;1,3529;4,4056;1,22;2,51;2,58;5,9;2,87;3,37;18,45
106;24/08/2023;15:00;EUROPE;EUROPA LEAGUE - QUALIFICATION - FINAL;Ludogorets;Ajax;56;22;40;21;2,5455;1,7249;1,9048;1,3768;4,4503;1,17;2,22;2,12;5,66;2,97;3,78;17,92
107;24/08/2023;14:00;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;Fenerbahce;Twente;63;23;42;22;2,7391;1,2236;1,9091;1,7032;4,6482;0,96;1,83;1,74;5,01;2,62;3,59;15,75
108;24/08/2023;06:00;WORLD;FRIENDLY INTERNATIONAL;Poland U17;Romania U17;82;27;41;25;3,037;2,4264;1,64;1,7177;4,677;0,93;1,53;1,25;4,63;2,83;4,29;15,46
109;24/08/2023;15:45;EUROPE;EUROPA CONFERENCE LEAGUE - QUALIFICATION - FINAL;AZ Alkmaar;Brann;51;22;61;24;2,3182;1,6064;2,5417;1,9996;4,8599;0,78;1,97;2,5;4,57;1,8;2,08;13,7
110;24/08/2023;10:30;WORLD;CLUB FRIENDLY WOMEN;RB Leipzig W;Rosenborg W;81;24;46;24;3,375;2,4463;1,9167;1,3202;5,2917;0,5;0,96;0,92;3,26;1,7;2,87;10,21
