Nº;Date;Time;Country;League;Home;Away;golshtHome;totalHome;golshtAway;totalAway;pHome;pAway;Sum
144;17/05/2023;19:00;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Sp. Luqueno;Cerro Porteno;28;43;32;43;0,6512;0,7442;1,3954
145;17/05/2023;21:30;PARAGUAY;PRIMERA DIVISION - APERTURA - ROUND 18;Tacuary;Guarani;29;43;29;43;0,6744;0,6744;1,3488
146;17/05/2023;17:00;PERU;LIGA 1 - APERTURA - ROUND 8;Carlos Mannucci;Cajamarca;29;43;29;43;0,6744;0,6744;1,3488
147;17/05/2023;21:00;PERU;LIGA 1 - APERTURA - ROUND 6;Binacional;Sporting Cristal;29;43;29;43;0,6744;0,6744;1,3488
148;17/05/2023;13:30;RUSSIA;RUSSIAN CUP - REGIONS PATH - PLAY OFFS - FINAL;Krasnodar;Ural;34;43;27;43;0,7907;0,6279;1,4186
149;17/05/2023;13:25;SAUDI ARABIA;DIVISION 1 - ROUND 32;Al Arabi;Al Ain;22;34;26;43;0,6471;0,6047;1,2518
150;17/05/2023;13:25;SAUDI ARABIA;DIVISION 1 - ROUND 32;Al-Hazem;Al-Sahel;30;43;27;43;0,6977;0,6279;1,3256
151;17/05/2023;14:20;SAUDI ARABIA;DIVISION 1 - ROUND 32;Al-Shoalah;Al Ahli SC;30;43;27;43;0,6977;0,6279;1,3256
152;17/05/2023;15:35;SCOTLAND;CHAMPIONSHIP - RELEGATION - FINAL;Airdrieonians;Hamilton;32;43;30;43;0,7442;0,6977;1,4419
153;17/05/2023;13:30;SERBIA;SERBIAN CUP - SEMI-FINALS;TSC;Crvena zvezda;30;43;36;43;0,6977;0,8372;1,5349
154;17/05/2023;13:30;SERBIA;SERBIAN CUP - SEMI-FINALS;Vojvodina;Cukaricki;28;43;33;43;0,6512;0,7674;1,4186
155;17/05/2023;11:00;SEYCHELLES;FIRST DIVISION LEAGUE - RELEGATION GROUP;Mont Fleuri;Real Maldives;28;43;33;43;0,6512;0,7674;1,4186
156;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Bai Bureh Warriors;FC Johansen;28;43;33;43;0,6512;0,7674;1,4186
157;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Diamond Stars;Kallon;28;43;33;43;0,6512;0,7674;1,4186
158;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;East End Lions;Freetown City;28;43;33;43;0,6512;0,7674;1,4186
159;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;East End Tigers;Real Republicans;28;43;33;43;0,6512;0,7674;1,4186
160;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Kamboi Eagles;Old Edwardians;28;43;33;43;0,6512;0,7674;1,4186
161;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Lamboi;Ports Authority;28;43;33;43;0,6512;0,7674;1,4186
162;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Luawa;Bo Rangers;28;43;33;43;0,6512;0,7674;1,4186
163;17/05/2023;13:15;SIERRA LEONE;PREMIER LEAGUE - ROUND 26;Mighty Blackpool;SLIFA;28;43;33;43;0,6512;0,7674;1,4186
